name,address,postcode,lat,long,web
North Weald Airfield Museum and Memorial,"Ad Astra House, Hurricane Way, North Weald, Epping, Essex, CM16 6AA",CM16 6AA,51.7135495257324,0.154966650832151,www.northweald.org
Fakenham Museum of Gas and Local History,"Hempton Road, Fakenham, Norfolk, NR21 7LA",NR21 7LA,52.8265709870145,0.846531923906646,www.fakenhamgasmuseum.com
Thursford Collection,"Thursford, Norfolk, NR21 OAS",No Valid Postcode Found,,,www.thursford.com
Norfolk & Suffolk Aviation Museum: East Anglia’s Aviation Heritage Centre,"Buckeroo Way, The Street, Flixton, Near Bungay, Suffolk, NR35 1NZ",NR35 1NZ,52.4353101055412,1.40130792836972,www.aviationmuseum.net
Elizabethan House Museum,"4 South Quay, Great Yarmouth, NR30 2QH",NR30 2QH,52.6053210576676,1.72540314617099,www.museums.norfolk.gov.uk
Time and Tide: Museum of Great Yarmouth Life,"Blackfriars Road, Great Yarmouth, Norfolk, NR30 3BX",NR30 3BX,52.6021396853512,1.73130808236677,www.museums.norfolk.gov.uk
Tolhouse Gaol,"Tolhouse Street, Great Yarmouth, Norfolk, NR30 2SH",NR30 2SH,52.6043042469603,1.72741465852766,www.museums.norfolk.gov.uk
Gressenhall Farm and Workhouse: Museum of Norfolk Life,"Gressenhall, Dereham, Norfolk, NR20 4DR",NR20 4DR,52.7148660155379,0.921908671841092,www.museums.norfolk.gov.uk/Gressenhall
Halesworth and District Museum,"The Railway Station, Station Road, Halesworth, Suffolk, IP19 8BZ",IP19 8BZ,52.3462307075335,1.50496029146672,www.halesworthmuseum.org.uk
Harlow Museum,"Muskham Road, Off First Avenue, Harlow, Essex, CM20 2LF",CM20 2LF,51.7787186850546,0.123843041623381,www.tmoh.com
Harwich Lifeboat Museum,"Timberfields, off Wellington Road, Harwich, CO12 3DT",CO12 3DT,51.9456196783922,1.28946781153533,http://www.harwich-society.co.uk/
Harwich Maritime Museum,"Low Lighthouse, Harbour Crescent, Harwich, CO12 3NL",CO12 3NL,51.9420306325603,1.29012186547226
Harwich Redoubt Fort,"behind 29 Main Road, Harwich, CO12 3LT",CO12 3LT,51.9424497370972,1.28767851406384,http://www.harwich-society.co.uk/
National Vintage Wireless and Television Museum,"Lightvessel LV18, The Quay, Harwich, Essex, CO12 3HH",CO12 3HH,51.947896706218,1.28651980136059,www.lv18.org
Mill Green Museum and Mill,"Mill Green, Hatfield, Hertfordshire, AL9 5PD",AL9 5PD,51.7729602734228,-0.20496826286809,www.welhat.gov.uk/museum
Welwyn Hatfield Museum Service,"Mill Green Museum and Mill, Mill Green, Hatfield, Hertfordshire, AL9 5PD",AL9 5PD,51.7729602734228,-0.20496826286809,www.welhat.gov.uk/museum
British Schools Museum,"41 Queen Street, Hitchin, Hertfordshire, SG4 9TS",SG4 9TS,51.9462223134144,-0.275684713424881
North Hertfordshire Museum,"North Hertfordshire Museum, Brand Street, Hitchin, Herts., SG5 1JE",SG5 1JE,51.9491869954724,-0.279194250331937,www.north-herts.gov.uk
Lowewood Museum,"High Street, Hoddesdon, Hertfordshire, EN11 8BH",EN11 8BH,51.7552004865693,-0.0137941225836297,www.broxbourne.gov.uk/lowewoodmuseum
Ramsey Rural Museum,"Wood Lane, Ramsey, Huntingdon, Cambridgeshire, PE26 2XD",PE26 2XD,52.4511642073264,-0.097637336135629,www.ramseyruralmuseum.co.uk
Feering and Kelvedon Local History Museum,"Aylett’s School, Maldon Road, Kelvedon, Colchester, Essex, CO5 9BA",CO5 9BA,51.8324703519701,0.697697609319136,www.kelvedon.org.uk
Lynn Museum,"Market Street, King’s Lynn, Norfolk, PE30 1NL",PE30 1NL,52.7536607405015,0.399905125580932,www.museums.norfolk.gov.uk also www.visitwestnorfolk.com
True’s Yard Fisherfolk Museum,"True’s Yard, North Street, King’s Lynn, Norfolk, PE30 1QW",PE30 1QW,52.7583803192159,0.397289322261155,www.truesyard.co.uk
Leighton Buzzard Railway,"Page’s Park Station, Billington Road, Leighton Buzzard, Bedfordshire, LU7 4TN",LU7 4TN,51.9067333969599,-0.652009023515754,www.buzzrail.co.uk
Long Shop Museum,"Main Street, Leiston, Suffolk, IP16 4ES",IP16 4ES,52.207705802574,1.5759527868664,www.longshopmuseum.co.uk
The International Garden Cities Exhibition,"296 Norton Way South, Letchworth Garden City, Hertfordshire, SG6 1SU",SG6 1SU,51.9768919739773,-0.224187217202038,www.garden-cities-exhibition.com
The Scout Association Heritage Service,"The Scout Association
UK Headquarters
Gilwell Park
Chingford, E4 7QW",E4 7QW,51.6502044723068,0.00266022507746261,www.scouts.org.uk/heritage
de Havilland Aircraft Museum,"PO Box 107, Salisbury Hall, London Colney, Nr St Albans, Hertfordshire, AL2 1EX",AL2 1EX,,,www.dehavillandmuseum.co.uk
Lowestoft and East Suffolk Maritime Museum,"Sparrow’s Nest Gardens, Whapload Road, Lowestoft, Suffolk, NR32 1XG",NR32 1XG,52.4878467561162,1.75756893146854,lowestoftmaritimemuseum.org.uk
Lowestoft Museum,"Broad House, Nicholas Everitt Park, Oulton Broad, Lowestoft, Suffolk, NR33 9JR",NR33 9JR,52.4736197976015,1.70678885210293
Maldon District Museum,"47 Mill Road, Maldon, Essex, CM9 5HX",CM9 5HX,51.7284079775314,0.685933634289246,www.maldonmuseum.org.uk
Much Hadham Forge Museum,"The Forge, High Street, Much Hadham, Hertfordshire, SG10 6BS",SG10 6BS,51.853238879503,0.0714155785476427,www.hertsmuseums.org.uk
Royal Air Force Air Defence Radar Museum,"RRH Neatishead, Norwich, NR12 8YB",NR12 8YB,52.713626404174,1.47234195001023,www.radarmuseum.co.uk
National Heritage Centre for Horseracing & Sporting Art,"Palace House, Palace Street, CB8 8JH",CB8 8JH,52.2427469393116,0.40428560653746
